fullname,head,ogrn,class
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ МЕЖРАЙОННЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ""ДОВЕРИЕ""","АНО ЦСОН ""ДОВЕРИЕ""",1171101005734,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР КОРРЕКЦИИ ДЕЗАДАПТАЦИЙ ""РОДА""","АНО ""ЦКД ""РОДА""",1127799023175,2
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ПРП. СЕРГИЯ РАДОНЕЖСКОГО Г. УСТЬ-ЛАБИНСКА КРАСНОДАРСКОГО КРАЯ АРМАВИРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1032335011906,6
"ФОНД ПОДДЕРЖКИ ЛЮДЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ""ЛАБИРИНТ 42""","ФПЛОВ ""ЛАБИРИНТ 42""",1174200000677,1
"ОМСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ФЕСТИВАЛИ, КОНКУРСЫ, КОНЦЕРТЫ""",ОРОО ПЦ ФКК,1035500008741,4
НАЦИОНАЛЬНАЯ АССОЦИАЦИЯ ЗАСЛУЖЕННЫХ ВРАЧЕЙ,НАЗВР,1197700004380,5
"КАЛИНИНГРАДСКАЯ РЕГИОНАЛЬНАЯ ДЕТСКО-МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""МАРИЯ""","КРДМ ООИ ""МАРИЯ""",1023900001190,1
"ОРЕНБУРГСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОЮЗ РОДИТЕЛЕЙ ШКОЛЫ № 35""","ОГОО ""СОЮЗ РОДИТЕЛЕЙ ШКОЛЫ № 35""",1095600000418,5
"ФОНД ЗНАНИЙ И ТЕХНОЛОГИЙ ДЛЯ МАЛОГО И СРЕДНЕГО БИЗНЕСА ""ВИКТОРИЯ""","ФОНД ""ВИКТОРИЯ""",1083900001239,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""СЕРГИЕВО-ПОСАДСКОЕ АГЕНТСТВО СОЦИАЛЬНЫХ ИНИЦИАТИВ""","АНО ""СПАСИ""",1135000003973,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ ЦЕНТР ""ЦИФРОНОМИКА""","АНО ""ИННОВАЦИОННЫЙ ЦЕНТР ""ЦИФРОНОМИКА""",1196313062043,4
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ НЕПРЕРЫВНОГО ОБРАЗОВАНИЯ""","АНО ДПО ""АКАДЕМИЯ НЕПРЕРЫВНОГО ОБРАЗОВАНИЯ""",1173600010088,1
"ИССЛЕДОВАТЕЛЬСКИЙ ФОНД ""ИНСТИТУТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО И ИНВЕСТИЦИОННОГО ПРОЕКТИРОВАНИЯ""","""ИНСТИТУТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО И ИНВЕСТИЦИОННОГО ПРОЕКТИРОВАНИЯ""",1057748862742,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНОЙ ПОДДЕРЖКИ И ЗАЩИТЫ ГРАЖДАН ""АДЕЛЬ""","АНО ""АДЕЛЬ""",1195958022875,1
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ДЕТЯМ С ОНКОЛОГИЧЕСКИМИ ЗАБОЛЕВАНИЯМИ ""КАДУЦЕЙ""","БФ ""КАДУЦЕЙ""",1177700001984,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ВОЕННО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ И НАУЧНО-ТЕХНИЧЕСКОГО ТВОРЧЕСТВА МОЛОДЕЖИ ""СИВАШ""","АНО ""ВПЦ ""СИВАШ""",1169102065736,2
"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ – ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКАЯ ДУХОВНАЯ АКАДЕМИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ""",,1037858007758,4
ФОНД СОДЕЙСТВИЯ ПРЕЗИДЕНТУ В БОРЬБЕ С КОРРУПЦИЕЙ,ФОНД СОДЕЙСТВИЯ ПРЕЗИДЕНТУ В БОРЬБЕ С КОРРУПЦИЕЙ,1186658093258,8
"АССОЦИАЦИЯ ЦЕНТР ФИЗИЧЕСКОГО РАЗВИТИЯ ""ОЛИМП""","АЦФР ""ОЛИМП""",1198600000818,2
"ФОНД ""ЦЕНТР РАЗВИТИЯ ДЕТЕЙ Я-НУЖЕН""","ФОНД ""ЦРД Я-НУЖЕН""",1177400004088,4
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВОЛЕЙБОЛЬНЫЙ КЛУБ ""БАГРАТИОН""","АНО ВК ""БАГРАТИОН""",1182500001200,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МОЯ БАБУЛЯ""","ФОНД ""МОЯ БАБУЛЯ""",1151001013448,1
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ Г. САРАТОВА ""ПОПЕЧИТЕЛЬСКИЙ СОВЕТ МУНИЦИПАЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №34""","ПОПЕЧИТЕЛЬСКИЙ СОВЕТ МОУ ""СОШ №34""",1146400000713,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЭКОЛОГИЧЕСКОЙ ЗАЩИТЫ ОКРУЖАЮЩЕЙ СРЕДЫ ""ЖИЗНЬ""","АНО ЭКОЛОГИЧЕСКОЙ ЗАЩИТЫ ОКРУЖАЮЩЕЙ СРЕДЫ ""ЖИЗНЬ""",1185958021380,9
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД СВЯТО-НИКОЛЬСКОГО ХРАМА С. НОВАЯ БЕЗГИНКА НОВООСКОЛЬСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ ПРАВОСЛАВНОЙ РЕЛИГИОЗНОЙ ОРГАНИЗАЦИИ БЕЛГОРОДСКОЙ И СТАРООСКОЛЬСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ МОСКОВСКОГО ПАТРИАРХАТА,,1163100000370,7
"НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФОНД РАЗВИТИЯ ГУМАННЫХ МЕТОДОВ ИССЛЕДОВАНИЯ ФАРМАЦЕВТИЧЕСКИХ И КОСМЕТОЛОГИЧЕСКИХ СРЕДСТВ ""СЕЛЛСТАНДАРТ""","ФОНД ""СЕЛЛСТАНДАРТ""",1197800000958,9
"АССОЦИАЦИЯ ""МЕЖРЕГИОНАЛЬНЫЙ ИНСТИТУТ КУЛЬТУРЫ ЗДОРОВЬЯ""","АССОЦИАЦИЯ ""ИНКУЛЬТЗОЖ""",1026300960036,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СОДЕЙСТВИЕ""","БФ ""СОДЕЙСТВИЕ""",1173850043256,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ САМАРСКОЙ ОБЛАСТИ ""АСТРЕЙ""","РООИ СО ""АСТРЕЙ""",1196313044938,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВТОМОБИЛИСТОВ ВОЛОГОДСКОЙ ОБЛАСТИ""","АНО ""ФЕДЕРАЦИЯ АВТОМОБИЛИСТОВ ВОЛОГОДСКОЙ ОБЛАСТИ""",1183525031414,12
"ТВЕРСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО СОДЕЙСТВИЮ УВЕКОВЕЧЕНИЯ ПАМЯТИ ПОГИБШИХ ПРИ ЗАЩИТЕ ОТЕЧЕСТВА ""ТВЕРИЧИ""","ТООО ""ТВЕРИЧИ""",1056922000948,7
"ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКОГО ОБЩЕСТВА И ПРАВАМ ЧЕЛОВЕКА ""ЖЕНЩИНЫ ДОНА""","ФОНД ""ЖЕНЩИНЫ ДОНА""",1136100005590,11
"ВОЛОГОДСКАЯ РЕГИОНАЛЬНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ТВОРЧЕСКОЙ ПРОФЕССИОНАЛЬНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""СОЮЗ АРХИТЕКТОРОВ РОССИИ""",ВРО САР,1033501072043,7
"КАЛИНИНГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЕ В РЕАЛИЗАЦИИ ПРАВ И ИНТЕРЕСОВ САДОВОДОВ (ОГОРОДНИКОВ И ДАЧНИКОВ) ""ЩИТ САДОВОДА""","КРОО ""ЩИТ САДОВОДА""",1163926080372,5
"ЧАСТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРАВОСЛАВНАЯ ГИМНАЗИЯ ВО ИМЯ СВЯТИТЕЛЯ ЛУКИ ВОЙНО-ЯСЕНЕЦКОГО""","ЧОУ ""ПРАВОСЛАВНАЯ ГИМНАЗИЯ""",1094200001356,6
ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ВОЛОГОДСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ,,1023500000292,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПОДДЕРЖКИ СПОРТИВНЫХ И МОЛОДЕЖНЫХ ИНИЦИАТИВ""","АНО ""ЦЕНТР ПОДДЕРЖКИ СПОРТИВНЫХ И МОЛОДЕЖНЫХ ИНИЦИАТИВ""",1143850018927,4
"""КАЛУЖСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ВОЙНЫ В АФГАНИСТАНЕ""",КГО ИВА,1104000000158,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКАЯ ОРГАНИЗАЦИЯ ""СВЕТЛОЯР РУССКОЙ СЛОВЕСНОСТИ""","АНО ""СВЕТЛОЯРРУСЛО""",1185275023262,6
"ФОНД ПОДДЕРЖКИ УЧАСТНИКОВ БОЕВЫХ ДЕЙСТВИЙ И СПЕЦИАЛЬНЫХ ОПЕРАЦИЙ ""ВЫМПЕЛ""","ФОНД ""ВЫМПЕЛ""",1037718019470,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОДЕЙСТВИЯ ВСЕСТОРОННЕМУ РАЗВИТИЮ ЛИЧНОСТИ И СОЦИАЛЬНОЙ АДАПТАЦИИ ЛЮДЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ ""АКМЕ""","АНО ""АКМЕ""",1183328000162,1
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД СВЯТО-ТРОИЦКОГО ХРАМА С. МУРОМ ШЕБЕКИНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ БЕЛГОРОДСКОЙ И СТАРООСКОЛЬСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ МОСКОВСКОГО ПАТРИАРХАТА,,1023100007149,2
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТАТАРСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ ПО ОКАЗАНИЮ ПОМОЩИ НЕБЛАГОПОЛУЧНЫМ СЕМЬЯМ И ПРИЕМНЫМ (ОПЕКУНСКИМ) СЕМЬЯМ В ВОСПИТАНИИ ДЕТЕЙ, ИСПЫТЫВАЮЩИХ ТРУДНОСТИ В СОЦИАЛЬНОЙ АДАПТАЦИИ ""ШАГ НАВСТРЕЧУ""","МОО ТР НСО ""ШАГ НАВСТРЕЧУ""",1175476107267,3
"""ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ И АДАПТАЦИИ ГРАЖДАН ""ДОРОГ КАЖДЫЙ""","""ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ И АДАПТАЦИИ ГРАЖДАН ""ДОРОГ КАЖДЫЙ""",1153300000590,1
РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ФЕДЕРАЦИЯ СПОРТИВНОГО ОРИЕНТИРОВАНИЯ КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ,РФСОО СПОРТИВНОГО ОРИЕНТИРОВАНИЯ КЧР,1190900000312,2
"НАЦИОНАЛЬНЫЙ ФОНД ПОДДЕРЖКИ СОЦИАЛЬНЫХ ИНИЦИАТИВ В ОБЛАСТИ ОБРАЗОВАНИЯ, КУЛЬТУРЫ И ИСКУССТВА, ОХРАНЫ ЗДОРОВЬЯ, ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ""СОДЕЙСТВИЕ""","ФОНД ""СОДЕЙСТВИЕ""",1127799013638,1
"ИШИМСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ КОННОГО СПОРТА""","""ИФКС""",1117200000697,1
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РАЗВИТИЯ НАЦИОНАЛЬНЫХ КУЛЬТУР КАМЫШЛИНСКОГО РАЙОНА ""ТУГАН ЯК"" (""РОДНОЙ КРАЙ"")","МОО ""ТУГАН ЯК"" (""РОДНОЙ КРАЙ"")",1196313010145,2
ФОНД РАЗВИТИЯ АЛТАЙСКОЙ МОЛОДЕЖНОЙ ПОЛИТИКИ,ФОНД РАМП,1152225018945,10
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТЕАТР №33""","АНО ""ТЕАТР №33""",1169600002967,6
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА СВЯТОГО ИОАННА ПРЕДТЕЧИ Г. КРАСНОЯРСКА КРАСНОЯРСКОГО КРАЯ КРАСНОЯРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1022400009675,7
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ ВЛАДИМИРА ЛЬВОВИЧА ЗАСОВА,БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ В.Л. ЗАСОВА,1040204599830,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДЕТСТКИЙ РАЗВИВАЮЩИЙ ЦЕНТР ""АП-КЛАБ""","АНО ДРЦ ""АП-КЛАБ""",1194700000428,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ И ПОДДЕРЖКИ МОЛОДЕЖНЫХ ИНИЦИАТИВ""","АНО ""ЦЕНТР РАЗВИТИЯ И ПОДДЕРЖКИ МОЛОДЕЖНЫХ ИНИЦИАТИВ""",1175543000852,4
"КУРГАНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ВСЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ ""БОЕВОЕ БРАТСТВО""","КУРГАНСКОЕ РО ВООВ ""БОЕВОЕ БРАТСТВО""",1164501052627,7
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ГОРОДА УЛЬЯНОВСКА ""ПРЕМЬЕРА""","ТОС ""ПРЕМЬЕРА""",1177325001391,12
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СТРАТЕГИЧЕСКИХ ИССЛЕДОВАНИЙ КАЧЕСТВА ЗДОРОВЬЯ ЧЕЛОВЕКА""","АНО ""ЦЕНТР КАЧЕСТВА ЗДОРОВЬЯ""",1197400000621,2
"ЧУВАШСКАЯ РЕСПУБЛИКАНСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОЮЗ КИНЕМАТОГРАФИСТОВ ЧУВАШСКОЙ РЕСПУБЛИКИ""","ЧРОО ""СОЮЗ КИНЕМАТОГРАФИСТОВ ЧУВАШИИ""",1142100000327,6
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПЕНСИОНЕРЫ СИБИРСКОГО ЗЕЛЕНОГОРСКА""","МОО ""ПСЗ""",1182468066120,1
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""УЮТ"" ЧАСТИ УЛИЦЫ НАРОДНАЯ ПОСЕЛКА БИРЮЧ КОЛОМЫЦЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""КРАСНОГВАРДЕЙСКИЙ РАЙОН"" БЕЛГОРОДСКОЙ ОБЛАСТИ","ТОС ""УЮТ""",1193100000785,9
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ АССОЦИАЦИЯ ""ЛИГА ПРАКТИКУЮЩИХ ПСИХОЛОГОВ И КОНСУЛЬТАНТОВ""","РОА ""ЛППК""",1162468092160,1
"ВОРОНЕЖСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ РОССИЙСКОГО ОБЩЕСТВЕННОГО БЛАГОТВОРИТЕЛЬНОГО ФОНДА ВЕТЕРАНОВ (ПЕНСИОНЕРОВ) ВОЙНЫ, ТРУДА И ВООРУЖЕННЫХ СИЛ","ВРО ""РОССИЙСКИЙ ФОНД ВЕТЕРАНОВ""",1093600000559,1
"РЕГИОНАЛЬНАЯ КУЛЬТУРНО-ОЗДОРОВИТЕЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЗДОРОВАЯ ПЛАНЕТА"" РЕСПУБЛИКИ БАШКОРТОСТАН","РКООО ""ЗДОРОВАЯ ПЛАНЕТА"" РБ",1130200005286,3
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПРОТИВОДЕЙСТВИЯ КОРРУПЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","РОО ""ЦПК СО""",1156600001744,12
"ЧАСТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРАВОСЛАВНАЯ ГИМНАЗИЯ ВО ИМЯ СВЯТИТЕЛЯ ИОАННА, МИТРОПОЛИТА ТОБОЛЬСКОГО""",ЧОУ ТПГ,1027201295660,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ГРЕБНОГО СПОРТА РОСТОВСКОЙ ОБЛАСТИ""","РОО ""ФГСРО""",1096100004043,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ МНОГОДЕТНЫМ СЕМЬЯМ ""БОЛЬШАЯ СЕМЬЯ""","ФОНД ""БОЛЬШАЯ СЕМЬЯ""",1165000052326,3
"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЛЬНАЯ ГРУЗИНСКАЯ НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ В РОССИИ""","ООО ""ФГНКАР""",1167700050462,10
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЧЕРНОМОРСКОЕ ОБЩЕСТВО ИНВАЛИДОВ"" КРАСНОДАРСКОГО КРАЯ","ОО ""ЧОИ"" КК",1172300000168,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СПОРТИВНАЯ ФЕДЕРАЦИЯ ЧИР СПОРТА И ЧИРЛИДИНГА НОВГОРОДСКОЙ ОБЛАСТИ""",РОО СФЧСЧНО,1115300000320,2
"БЛАГОВЕЩЕНСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ДОБРОВОЛЬНАЯ НАРОДНАЯ АВТОМОБИЛЬНАЯ ДРУЖИНА"" ФАО АКС ""АМУРВОДОКАНАЛ""","БГОО ""ДОБРОВОЛЬНАЯ НАРОДНАЯ АВТОМОБИЛЬНАЯ ДРУЖИНА""",1172800000064,4
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО СОДЕЙСТВИЯ СОХРАНЕНИЮ И ПРИУМНОЖЕНИЮ НАЦИОНАЛЬНОГО КУЛЬТУРНОГО НАСЛЕДИЯ ""ЦЕНТР ПАТРИОТИЧЕСКОЙ ПЕСНИ""","НП ""ЦЕНТР ПАТРИОТИЧЕСКОЙ ПЕСНИ""",1147799000689,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ ЛИЧНОСТИ ""ПЕРСПЕКТИВА""","АНОЦРЛ ""ПЕРСПЕКТИВА""",1121600005812,2
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ""СТУДЕНЧЕСКАЯ ПАРУСНАЯ ЛИГА""","НП ""СПЛ""",1135000005172,2
"БЕЛГОРОДСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""СОЮЗ ПИСАТЕЛЕЙ РОССИИ""","БРО ООО ""СОЮЗ ПИСАТЕЛЕЙ РОССИИ""",1023100011681,7
ОБЩЕСТВЕННЫЙ ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ ПАТРИОТИЧЕСКИХ ИНИЦИАТИВ ВЕТЕРАНОВ САЯНОГОРСКА,ОБЩЕСТВЕННЫЙ ФОНД ВЕТЕРАНОВ САЯНОГОРСКА,1181900000050,7
